Company Name,Company Location,Estimated Salary
"Visa
4.0","Miami, FL",$108K - $151K (Employer est.)
"Houzz
3.9",Remote,$140K - $165K (Employer est.)
"RADAR
4.0","San Jose, CA",$92K - $151K (Glassdoor est.)
"Paramount Pictures
3.8","Los Angeles, CA",$110K - $125K (Employer est.)
"Intermountain Healthcare
3.6","Salt Lake City, UT",$43.49 - $68.48 Per Hour (Employer est.)
"AccessHope
2.8",Remote,$48.48 - $72.11 Per Hour (Employer est.)
"TAYS INC
4.7","Baltimore, MD",$106K - $142K (Employer est.)
"Saks
4.0","New York, NY",$136K - $155K (Employer est.)
"Indev
2.5","Washington, DC",$242K (Employer est.)
Caden,United States,$130K - $160K (Employer est.)
"Audible
3.6","Newark, NJ",$103K - $147K (Glassdoor est.)
"Premium Merchant Funding
4.1","New York, NY",$58K - $62K (Employer est.)
SpecialT Tech,Remote,$90K - $120K (Employer est.)
"T-Mobile USA, Inc.
3.7","Atlanta, GA",$112K - $152K (Employer est.)
"Victory Capital Management
3.5","San Antonio, TX",N/A
"Snapchat
3.5","Los Angeles, CA",$97K - $145K (Employer est.)
"Jellyfish
3.5",Remote,N/A
"U.S. Xpress Enterprises, Inc.
3.0",Remote,$80K - $110K (Employer est.)
DILS srl,Remote,N/A
"Good Sam Enterprises, LLC
2.7","Lincolnshire, IL",$81K - $122K (Employer est.)
"Healthfirst
3.2",Remote,$97K - $154K (Employer est.)
"Cambridge Associates LLC
3.8","Boston, MA",$80K - $124K (Glassdoor est.)
"Flip Fit
3.7","El Segundo, CA",$100K - $130K (Employer est.)
"Rancho BioSciences LLC
3.4","Boston, MA",$73K - $105K (Glassdoor est.)
"Microsoft
4.2","Redmond, WA",$98K - $209K (Employer est.)
"omega solutions inc
3.1","Santa Ana, CA",$86K - $126K (Glassdoor est.)
"Warren Power and Machinery, Inc.
3.9","Abilene, TX",$70K - $116K (Glassdoor est.)
"Strider Technologies
5.0","Tysons Corner, VA",N/A
"Whatnot
4.4","San Francisco, CA",$180K - $275K (Employer est.)
"Altamira Technologies Corp.
4.0","Tampa, FL",$76K - $125K (Glassdoor est.)
N/A,N/A,N/A
